Car,Year Manufactured,Top Speed (mph),Top Speed (km/h),Number Built
Benz Velo,1894,12,19,1200
Jaguar XK120,1949,124.6,200.5,12000
Mercedes-Benz 300SL,1955,150.7,242.5,1400
Aston Martin DB4,1959,152,245,75
Iso Grifo GL 365,1963,161,259,400
AC Cobra Mk III 427,1965,165,266,25
Lamborghini Miura P400,1967,171,275,275
Ferrari 365 GTB/4 Daytona,1968,174,280,1400
Lamborghini Miura P400S,1969,179.3,288.6,338
Lamborghini Countach LP500 S,1982,182,293,323
Ruf BTR,1983,190,305,25
Porsche 959,1986,198,319,337
Ruf CTR,1987,213,342,29
McLaren F1,1993,221,355,64
Bugatti Veyron EB 16.4,2005,253.81,408.47,300
SSC Ultimate Aero TT,2007,256.18,412.28,19
Bugatti Veyron 16.4 Super Sport,2010,267.856,431.072,30
Koenigsegg Agera RS,2017,277.87,447.19,25
